file,kata,participant,treatment,trial_id,loc,sloc,lloc,comments,blank,functions_count,cc_avg,cc_max,cc_min,cc_total,cc_rank,duplicated_lines,duplication_percentage,clones_count,duplication_tool,mi,mi_rank,status,error_message
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\05-dish-rack\jaoppb\solution.py,05-dish-rack,joao,manual,trial-joao-manual-05,40,33,33,0,7,1,3.0,3,3,3,A,0,0.0,0,python-cpd,47.28,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\06-n-checkers\jaoppb\solution.py,06-n-checkers,joao,manual,trial-joao-manual-06,35,24,24,0,11,1,6.0,6,6,6,B,0,0.0,0,python-cpd,51.61,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\01-bario-world\gabriel\solution.py,01-bario-world,gabriel,manual,trial-gabriel-manual-01,50,43,43,0,7,2,8.0,14,2,16,B,0,0.0,0,python-cpd,44.23,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\02-cards\gabriel\solution.py,02-cards,gabriel,manual,trial-gabriel-manual-02,37,27,27,0,10,1,6.0,6,6,6,B,0,0.0,0,python-cpd,54.22,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\03-exploring-terrain\gabriel\solution.py,03-exploring-terrain,gabriel,manual,trial-gabriel-manual-03,64,49,53,0,15,2,7.5,10,5,15,B,0,0.0,0,python-cpd,42.11,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\04-garment-groups\gabriel\solution.py,04-garment-groups,gabriel,manual,trial-gabriel-manual-04,5,3,3,0,2,0,1.0,1,1,1,A,0,0.0,0,python-cpd,84.72,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\05-dish-rack\gabriel\solution.py,05-dish-rack,gabriel,manual,trial-gabriel-manual-05,43,33,33,0,10,3,2.67,3,2,8,A,0,0.0,0,python-cpd,47.24,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\06-n-checkers\gabriel\solution.py,06-n-checkers,gabriel,manual,trial-gabriel-manual-06,38,28,28,0,10,1,5.0,5,5,5,A,0,0.0,0,python-cpd,50.34,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\01-bario-world\gemini-flash-3.8\solution.py,01-bario-world,gabriel,ai,trial-gabriel-01,80,61,61,2,17,1,18.0,18,18,18,C,0,0.0,0,python-cpd,49.87,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\02-cards\gemini-flash-3.8\solution.py,02-cards,gabriel,ai,trial-gabriel-02,48,31,32,5,12,1,9.0,9,9,9,B,0,0.0,0,python-cpd,71.34,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\03-exploring-terrain\gemini-flash-3.8\solution.py,03-exploring-terrain,gabriel,ai,trial-gabriel-03,64,48,48,2,14,1,17.0,17,17,17,C,0,0.0,0,python-cpd,54.15,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\04-garment-groups\gemini-flash-3.8\solution.py,04-garment-groups,gabriel,ai,trial-gabriel-04,18,10,10,2,6,1,2.0,2,2,2,A,0,0.0,0,python-cpd,91.5,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\05-dish-rack\gemini-flash-3.8\solution.py,05-dish-rack,gabriel,ai,trial-gabriel-05,76,48,50,7,17,3,3.33,4,3,10,A,0,0.0,0,python-cpd,66.54,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\06-n-checkers\gemini-flash-3.8\solution.py,06-n-checkers,gabriel,ai,trial-gabriel-06,51,36,37,2,13,1,7.0,7,7,7,B,0,0.0,0,python-cpd,60.52,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\01-bario-world\gpt-4o\solution.py,01-bario-world,marcela,ai,trial-marcela-01,55,41,43,0,12,2,7.5,12,3,15,B,0,0.0,0,python-cpd,43.82,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\02-cards\gpt-4o\solution.py,02-cards,marcela,ai,trial-marcela-02,44,32,34,0,11,1,9.0,9,9,9,B,0,0.0,0,python-cpd,49.93,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\03-exploring-terrain\gpt-4o\solution.py,03-exploring-terrain,marcela,ai,trial-marcela-03,65,49,51,0,15,1,11.0,11,11,11,C,0,0.0,0,python-cpd,42.73,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\04-garment-groups\gpt-4o\solution.py,04-garment-groups,marcela,ai,trial-marcela-04,16,10,11,0,5,1,2.0,2,2,2,A,0,0.0,0,python-cpd,67.22,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\05-dish-rack\gpt-4o\solution.py,05-dish-rack,marcela,ai,trial-marcela-05,62,45,48,0,14,3,3.33,4,3,10,A,0,0.0,0,python-cpd,43.36,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\06-n-checkers\gpt-4o\solution.py,06-n-checkers,marcela,ai,trial-marcela-06,43,32,34,0,10,1,6.0,6,6,6,B,0,0.0,0,python-cpd,47.92,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\01-bario-world\marcela\solution.py,01-bario-world,marcela,manual,trial-marcela-manual-01,54,44,44,0,10,2,7.5,12,3,15,B,0,0.0,0,python-cpd,43.6,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\02-cards\marcela\solution.py,02-cards,marcela,manual,trial-marcela-manual-02,41,32,33,0,9,1,8.0,8,8,8,B,0,0.0,0,python-cpd,50.77,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\03-exploring-terrain\marcela\solution.py,03-exploring-terrain,marcela,manual,trial-marcela-manual-03,60,47,48,0,13,1,11.0,11,11,11,C,0,0.0,0,python-cpd,43.3,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\04-garment-groups\marcela\solution.py,04-garment-groups,marcela,manual,trial-marcela-manual-04,13,9,9,0,4,1,2.0,2,2,2,A,0,0.0,0,python-cpd,69.12,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\05-dish-rack\marcela\solution.py,05-dish-rack,marcela,manual,trial-marcela-manual-05,58,45,45,0,13,3,3.33,4,3,10,A,0,0.0,0,python-cpd,43.97,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\06-n-checkers\marcela\solution.py,06-n-checkers,marcela,manual,trial-marcela-manual-06,41,32,33,0,9,1,6.0,6,6,6,B,0,0.0,0,python-cpd,48.2,A,ok,
